Aathal-Seegräben; CH
Gestecke; DE
Gibswil; CH
Gieshübel; DE
Gifizenmoos; DE
Giggenhausen;Moosmühle;Massenhausen;Schaidenhausen;Hetzenhausen; DE
Glaitenhof; DE
Glienicke /Nordbahn; DE
Gmund a. Tegernsee; DE
Gnosca; CH
Golaten; CH
Goldenerhahn; DE
Gondo; CH
Goppenstein; CH
Goppisberg; CH
Gossau SG; CH
Grabenstoffl; DE
Grafenanger;Seebruck; DE
Grafenort; CH
Grafing b. München; DE
Grandsivaz; CH
Grangettes-près-Romont; CH
Graslhof; AT
Greifswald , Hansestadt; DE
Greis; AT
Gressy; CH
Gretschins; CH
Grießen; DE
Grimmelsberg; DE
Grollenhof; DE
Grotenknöll; DE
Groß Hauskreuz; DE
Großfriesen; DE
Großpostwitz /O.L.; DE
Großwiesenhof; DE
Großwig;Süptitz;Weidenhain; DE
Grub AR; CH
Grub SG; CH
Grub a. Forst; DE
Gruberhagen; DE
Grugnay (Chamoson); CH
Grübelsberg; DE
Grünental; DE
Grünhof; DE
Gstadt a. Chiemsee; DE
Gumefens; CH
Gumpener Kreuz; DE
Gumpenweiler; DE
Guntershausen b. Berg; CH
Guntmadingen; CH
Gunzwil; CH
Gute Mühle;Ströbels Mühle;Saueressigs Mühle; DE
Gysenstein; CH
Gächliwil; CH
Gänsbrunnen; CH
Götighofen; CH
Gümligen; CH
Güttenbach / Pinkovac; AT
Haag (Rheintal); CH
Hackermoos; DE
Hagenbuch ZH; CH
Hagendorn; CH
Hahnenkrug; DE
Hainhof; DE
Halbendorf; DE
Halbertshof; DE
Hals; DE
Hamburg-Insel Neuwerk; DE
Hamfelde, Kr Hzgt Lauenburg; DE
Hamfelde, Kr Stormarn; DE
Hammer; DE
Hammer a.d. Uecker; DE
Hammermühle; DE
Hanchesmühle;Birkenstöcke; DE
Happerswil; CH
Hardthof; DE
Hardtmühle; DE
Harthof; DE
Hartlmühl; AT
Haselbach-Söldhaus; DE
Hasenmühle; DE
Haslaurotte; AT
Hasle LU; CH
Hasle-Rüegsau; CH
Haslen AI; CH
Hasliberg Reuti; CH
Hattenhausen; CH
Hausen AG; CH
Hausen b. Würzburg; DE
Hauterive NE; CH
Heckenhof; DE
Heerbrugg; CH
Heerhof;Osterholz; DE
Hegebuchenbusch; DE
Hegerhof; DE
Hehm;Nordfeld; DE
Heidehof; DE
Heidersbacher Mühle; DE
Heiligenbruck;Schilpenbühl; DE
Heimbuch; DE
Heimenschwand; CH
Heinrichsegen; DE
Hellbornerhof; DE
Hengstbacherhof; DE
Hennens; CH
Hennickendorf;Herzfelde; DE
Herbelsmühle; DE
Herfingerhof;Mühlbusch; DE
Hergiswil NW; CH
Hergiswil b. Willisau; CH
Hergolding;Parsdorf; DE
Hermsdorf /Erzgeb.;Hermsdorf-Seyde; DE
Herrenbranden; DE
Herrenchiemsee; DE
Herrsching a. Ammersee; DE
Hessenhütte; DE
Hetlinger Neuerkoog; DE
Hettiswil b. Hindelbank; CH
Heubergerhof;Pulvermühle; DE
Heuchelheim a. d. Lahn; DE
Hilfikon; CH
Himmelweiler; DE
Hinterbirkenhof; DE
Hinterbug; DE
Hinterer Hessenhof; DE
Hinterfultigen; CH
Hinterlibitsch / Suha; AT
Hintermoos; CH
Hinterste Wache; DE
Hinterziegelhalden; DE
Hippelsbach; DE
Hirschhof; DE
Hirschhorn/ Pfalz; DE
Hirtscheid;Talmühle; DE
Hirzlei; DE
Hochbuch; DE
Hochgernhaus; DE
Hochstadt a. Main; DE
Hochstatter Hof; DE
Hof Mondschirm; DE
Hoffnungstal; DE
Hofheim; DE
Hofstetten b. Brienz; CH
Hohenentringen; DE
Hohenlohe; DE
Hohenseeden;Bergzow; DE
Hohtenn; CH
Holderbank AG; CH
Holderbank SO; CH
Hollerdeich; DE
Hollermühle; DE
Hollertal; DE
Hollmühle; DE
Holzhauser Eck; DE
Holzheim a. Forst; DE
Holzmühle; DE
Homberg b. Thun; CH
Hoppenwalde; DE
Horgen 1; CH
Hornberger Reute; DE
Hornstein / Vorištan; AT
Horschhof; DE
Horsmar;Eigenrode; DE
Hosena; DE
Hosenruck; CH
Hummelshalden; DE
Hundebusch; DE
Hundertmorgen; DE
Hundsrück; DE
Hundsweihersägemühle; DE
Hurtingöd; DE
Huy-Neinstedt;Pabstorf;Anderbeck;Vogelsdorf;Dedeleben;Badersleben; DE
Huémoz; CH
Höchstädt i. Fichtelgebirge; DE
Höfen b. Thun; CH
Höhenstein; DE
Höhjunk; DE
Höllhammer; DE
Hörhausen; CH
Hörlitz; DE
Hüll; DE
Hünenberg See; CH
Hünenfeld; DE
Hüswil; CH
Hüttelngesäß; DE
Hüttgeswasen; DE
Ichertswil; CH
Igelsbach; DE
Ilanz; CH
Illhart; CH
Illighausen; CH
Illnau; CH
Iltishof; DE
Im Fang; CH
Im Hengstrain; DE
Immenhof;Bornsmühle; DE
Immenstadt i. Allgäu; DE
Indemini; CH
Ingelbach-Bahnhof; DE
Innereriz; CH
Innerferrera; CH
Inning a. Ammersee; DE
Inning a. Holz; DE
Inselhof; DE
Intragna; CH
Irmannsweiler;Bibersohl; DE
Iseo; CH
Isole di Brissago; CH
Ittenthal; CH
Jagdschloß Thiergarten; DE
Jahnsdorf /Erzgeb.; DE
Jakobsbad; CH
Jaunstein / Podjuna; AT
Jeremiasmühle; DE
Jerrisbekfeld; DE
Jeshop; DE
Jettenhausen; DE
Jevenberg;Moltkestein; DE
Jägerhaus; DE
Jägerlust, Forsthaus; DE
Jößnitz; DE
Kagar;Wallitz;Dorf Zechlin;Flecken Zechlin;Neu Lutterow;Luhme;Alt Lutterow; DE
Kahl a. Main; DE
Kahler Berg; DE
Kahlkamp; DE
Kaisersdorf / Kalištrof; AT
Kaisershagen;Ammern;Dachrieden;Reiser; DE
Kalbergerhof; DE
Kalham; AT
Kalkofen, Gem Dörnberg;Schleuse; DE
Kalpetran; CH
Kaltacker; CH
Kaltbach; CH
Kaltbuch; DE
Kaltenbrunn; DE
Kaltenwanghof; DE
Kamerlanderdeich; DE
Kappel SO; CH
Karlshof; DE
Karlshöhe;Kreuzhof; DE
Karlshöhe;Schleifthor; DE
Karlstein a. Main; DE
Karlsthal Bahnhof; DE
Karthause Grünau; DE
Katelbogen;Qualitz;Laase; DE
Katharinenhof; DE
Katharinenthalerhof; DE
Katschow; DE
Katzhörn;Kleinkoogsdeich;Gotteskoogdeich; DE
Keller; DE
Kellershof; DE
Kemptthal; CH
Ketzin /Havel; DE
Kilchberg BL; CH
Kilchberg ZH; CH
Kindsbach, Forsthaus; DE
Kirchberg BE; CH
Kirchdorf AG; CH
Kirchdorf BE; CH
Kirchdorf a. Inn; DE
Kirchheim b. München; DE
Kirchleerau-Moosleerau; CH
Kirschfurt; DE
Klaftertalerhof; DE
Klaubmühle; DE
Klein Grönau; DE
Klein Heikeland; DE
Klein Kampen; DE
Kleindietwil; CH
Kleindöttingen; CH
Kleinromstedt;Großromstedt;Pfuhlsborn;Kösnitz;Eckolstädt;Wormstedt;Münchengosserstädt;Hermstedt;Stobra; DE
Kleinzerbst; DE
Klettwitz; DE
Klingenbach / Klimpuh; AT
Klingenberg a. Main; DE
Klingenmühlhöfle; DE
Klippmühle; DE
Klockow; DE
Kloster St Ludwig; DE
Klüß; DE
Kneispermühle; DE
Knochenmühle;Kaisermühle; DE
Knyphauserwald; DE
Kochel a. See; DE
Kohlmühle; DE
Kollow, Kurheim; DE
Kolochau;Malitschkendorf; DE
Konradsmühle;Würschhauserhof;Würschhausermühle; DE
Kosilenzien;Neuburxdorf;Langenrieth;Möglenz; DE
Kottenbornermühle; DE
Kottingburgstall; AT
Kottmar (Gemeinde); DE
Kraiburg a. Inn; DE
Krambergsmühle; DE
Krauschwitz i.d. O.L.; DE
Krautenberg; DE
Krelinger Bruch; DE
Krettenhof; DE
Kretzhaus; DE
Kreut; DE
Kreuzquelle; DE
Krinau; CH
Kroatisch Minihof / Mjenovo; AT
Krumhermersdorf; DE
Krummland; DE
Kulmerau; CH
Kurort Rathen; DE
Kurort Seiffen; DE
Kyburg-Buchegg; CH
Köhnerbrücke; DE
Kölleshof; DE
Kömmel / Komelj; AT
Königreich; DE
Königstein /Sächs. Schw.; DE
Königswill; DE
Köppelmühle; DE
Köschinger Waldhaus; DE
Köshof;Schautenhof;Eibenhof; DE
Köthel, Kr Hzgt Lauenburg; DE
Köthel, Kr Stormarn; DE
Küssnacht am Rigi; CH
LAbergement; CH
LAuberson; CH
La Conversion; CH
La Corbaz; CH
La Coudre; CH
La Croix-de-Rozon; CH
La Cure; CH
La Garde (Sembrancher); CH
La Plaine; CH
La Roche FR; CH
La Russille; CH
La Sagne NE; CH
La Tour-de-Trême; CH
La Tzoumaz; CH
Laax GR 2; CH
Lachen SZ; CH
Lachnitzmühle; DE
Lambertskreuz; DE
Landturm; DE
Langenhalde; DE
Langenhorst; DE
Langental / Longitolj; AT
Langhardt; DE
Langheckerhof; DE
Langweid a. Lech; DE
Lanna; CH
Lanzenneunforn; CH
Latterbach; CH
Lauberhof; DE
Lauenburg/ Elbe; DE
Lauenen b. Gstaad; CH
Laufenbacherhof; DE
Laupen BE; CH
Laura; CH
Lausanne 18; CH
Lautenbachhof; DE
Lavin; CH
Le Brouillet; CH
Le Bémont JU; CH
Le Cerneux-Veusil; CH
Le Châtelard VS; CH
Le Châtelard-près-Romont; CH
Le Prédame; CH
Le Pâquier-Montbarry; CH
